sample_accession	secondary_sample_accession	run_accession
SAMEA4718222	ERS2538368	ERR2623361
SAMEA4718223	ERS2538369	ERR2623362
SAMEA4718224	ERS2538370	ERR2623363
SAMEA4718225	ERS2538371	ERR2623364
SAMEA4718226	ERS2538372	ERR2623365
SAMEA4718227	ERS2538373	ERR2623366
SAMEA4718228	ERS2538374	ERR2623367
SAMEA4718229	ERS2538375	ERR2623368
SAMEA4718230	ERS2538376	ERR2623369
SAMEA4718231	ERS2538377	ERR2623370
SAMEA4718232	ERS2538378	ERR2623371
SAMEA4718233	ERS2538379	ERR2623372
SAMEA4718234	ERS2538380	ERR2623373
SAMEA4718235	ERS2538381	ERR2623374
SAMEA4718236	ERS2538382	ERR2623375
SAMEA4718237	ERS2538383	ERR2623376
SAMEA4718238	ERS2538384	ERR2623377
SAMEA4718239	ERS2538385	ERR2623378
SAMEA4718240	ERS2538386	ERR2623379
SAMEA4718241	ERS2538387	ERR2623380
SAMEA4718242	ERS2538388	ERR2623381
SAMEA4718243	ERS2538389	ERR2623382
SAMEA4718244	ERS2538390	ERR2623383
SAMEA4718245	ERS2538391	ERR2623384
SAMEA4718246	ERS2538392	ERR2623385
SAMEA4718247	ERS2538393	ERR2623386
SAMEA4718248	ERS2538394	ERR2623387
SAMEA4718249	ERS2538395	ERR2623388
SAMEA4718250	ERS2538396	ERR2623389
SAMEA4718251	ERS2538397	ERR2623390
SAMEA4718252	ERS2538398	ERR2623391
SAMEA4718253	ERS2538399	ERR2623392
SAMEA4718254	ERS2538400	ERR2623393
SAMEA4718255	ERS2538401	ERR2623394
SAMEA4718256	ERS2538402	ERR2623395
SAMEA4718257	ERS2538403	ERR2623396
SAMEA4718258	ERS2538404	ERR2623397
SAMEA4718259	ERS2538405	ERR2623398
SAMEA4718260	ERS2538406	ERR2623399
SAMEA4718261	ERS2538407	ERR2623400
SAMEA4718262	ERS2538408	ERR2623401
SAMEA4718263	ERS2538409	ERR2623402
SAMEA4718264	ERS2538410	ERR2623403
SAMEA4718265	ERS2538411	ERR2623404
SAMEA4718266	ERS2538412	ERR2623405
SAMEA4718267	ERS2538413	ERR2623406
SAMEA4718268	ERS2538414	ERR2623407
SAMEA4718269	ERS2538415	ERR2623408
SAMEA4718270	ERS2538416	ERR2623409
SAMEA4718271	ERS2538417	ERR2623410
SAMEA4718272	ERS2538418	ERR2623411
SAMEA4718273	ERS2538419	ERR2623412
SAMEA4718274	ERS2538420	ERR2623413
SAMEA4718275	ERS2538421	ERR2623414
SAMEA4718276	ERS2538422	ERR2623415
SAMEA4718277	ERS2538423	ERR2623416
SAMEA4718278	ERS2538424	ERR2623417
